time,Latitude,Longitude,altitude,PM-2.5,Temp.
2020-08-30 07:07:26,26.9165665,75.8008844,453.05,53,33
2020-08-30 07:07:27,26.916545799999998,75.8008778,446.8,54,33
2020-08-30 07:07:28,26.9165283,75.80087309999999,446.77,54,33
2020-08-30 07:07:30,26.9165006,75.8008655,447.22,69,33
2020-08-30 07:07:31,26.916473999999997,75.80085749999999,447.18,67,33
2020-08-30 07:07:32,26.916452500000002,75.80085240000001,443.14,46,33
2020-08-30 07:07:33,26.916429700000002,75.8008446,442.94,68,33
2020-08-30 07:07:34,26.9164094,75.800837,442.91,50,33
2020-08-30 07:07:36,26.9163817,75.800827,442.67,42,33
2020-08-30 07:07:37,26.916358600000002,75.80082220000001,442.63,43,33
2020-08-30 07:07:38,26.9163462,75.80082009999998,442.72,39,33
2020-08-30 07:07:39,26.9163168,75.80081259999999,438.25,38,33
2020-08-30 07:07:40,26.916294800000003,75.8008057,438.25,42,33
2020-08-30 07:07:42,26.9162457,75.8007932,438.43,41,33
2020-08-30 07:07:43,26.9162245,75.8007861,438.4,38,33
2020-08-30 07:07:44,26.916204200000003,75.8007786,435.43,38,33
2020-08-30 07:07:45,26.9161869,75.8007657,435.35,33,33
2020-08-30 07:07:46,26.9161758,75.8007631,435.41,27,33
2020-08-30 07:07:48,26.916126600000002,75.8007583,435.45,45,33
2020-08-30 07:07:49,26.9161103,75.8007559,435.36,40,33
2020-08-30 07:07:50,26.9161039,75.8007531,435.34,39,33
2020-08-30 07:07:51,26.916086699999997,75.80074549999999,432.98,41,33
2020-08-30 07:07:53,26.9160626,75.8007355,432.9,43,33
2020-08-30 07:07:54,26.9160438,75.80072740000001,433.24,33,33
2020-08-30 07:07:55,26.9160217,75.80071629999999,434.7,42,33
2020-08-30 07:07:56,26.9160114,75.80071109999999,434.76,35,33
2020-08-30 07:07:57,26.9159826,75.80069809999999,434.72,51,33
2020-08-30 07:07:59,26.9159395,75.80068100000001,434.9,33,33
2020-08-30 07:08:00,26.9159169,75.8006691,434.92,40,33
2020-08-30 07:08:01,26.915892,75.8006595,434.03,37,33
2020-08-30 07:08:02,26.915872999999998,75.80065390000001,434.26,35,33
2020-08-30 07:08:03,26.915859499999996,75.8006498,434.53,35,33
2020-08-30 07:08:05,26.9158284,75.8006418,434.77,32,33
2020-08-30 07:08:06,26.915817200000003,75.80063709999999,434.92,42,33
2020-08-30 07:08:07,26.9158105,75.80063390000001,435.08,39,33
2020-08-30 07:08:08,26.9158029,75.8006319,435.0,44,33
2020-08-30 07:08:09,26.915797499999996,75.8006302,435.13,37,33
2020-08-30 07:08:11,26.9157771,75.8006233,435.6,32,33
